time,latitude,longitude,sic
UTC,degrees_north,degrees_east,1
2022-09-16T12:00:00Z,89.5,251.5,0.95
2022-09-16T12:00:00Z,89.5,252.5,0.95
2022-09-16T12:00:00Z,89.5,253.5,0.94
2022-09-16T12:00:00Z,89.5,254.5,0.95
2022-09-16T12:00:00Z,89.5,255.5,0.94
2022-09-16T12:00:00Z,89.5,256.5,0.94
2022-09-16T12:00:00Z,89.5,257.5,0.94
2022-09-16T12:00:00Z,89.5,258.5,0.95
2022-09-16T12:00:00Z,89.5,259.5,0.95
2022-09-16T12:00:00Z,89.5,260.5,0.95
2022-09-16T12:00:00Z,89.5,261.5,0.95
2022-09-16T12:00:00Z,89.5,262.5,0.95
2022-09-16T12:00:00Z,89.5,263.5,0.95
2022-09-16T12:00:00Z,89.5,264.5,0.95
2022-09-16T12:00:00Z,89.5,265.5,0.95
2022-09-16T12:00:00Z,89.5,266.5,0.95
2022-09-16T12:00:00Z,89.5,267.5,0.95
2022-09-16T12:00:00Z,89.5,268.5,0.94
2022-09-16T12:00:00Z,89.5,269.5,0.95
2022-09-16T12:00:00Z,89.5,270.5,0.95
2022-09-16T12:00:00Z,89.5,271.5,0.95
2022-09-16T12:00:00Z,89.5,272.5,0.95
2022-09-16T12:00:00Z,89.5,273.5,0.95
2022-09-16T12:00:00Z,89.5,274.5,0.95
2022-09-16T12:00:00Z,89.5,275.5,0.95
2022-09-16T12:00:00Z,89.5,276.5,0.95
2022-09-16T12:00:00Z,89.5,277.5,0.94
2022-09-16T12:00:00Z,89.5,278.5,0.94
2022-09-16T12:00:00Z,89.5,279.5,0.94
2022-09-16T12:00:00Z,89.5,280.5,0.95
2022-09-16T12:00:00Z,89.5,281.5,0.95
2022-09-16T12:00:00Z,89.5,282.5,0.95
2022-09-16T12:00:00Z,89.5,283.5,0.95
2022-09-16T12:00:00Z,89.5,284.5,0.95
2022-09-16T12:00:00Z,89.5,285.5,0.95
2022-09-16T12:00:00Z,89.5,286.5,0.95
2022-09-16T12:00:00Z,89.5,287.5,0.95
2022-09-16T12:00:00Z,89.5,288.5,0.95
2022-09-16T12:00:00Z,89.5,289.5,0.95
2022-09-16T12:00:00Z,89.5,290.5,0.95
2022-09-16T12:00:00Z,89.5,291.5,0.95
2022-09-16T12:00:00Z,89.5,292.5,0.95
2022-09-16T12:00:00Z,89.5,293.5,0.95
2022-09-16T12:00:00Z,89.5,294.5,0.95
2022-09-16T12:00:00Z,89.5,295.5,0.95
2022-09-16T12:00:00Z,89.5,296.5,0.95
2022-09-16T12:00:00Z,89.5,297.5,0.95
2022-09-16T12:00:00Z,89.5,298.5,0.95
2022-09-16T12:00:00Z,89.5,299.5,0.95
2022-09-16T12:00:00Z,89.5,300.5,0.95
2022-09-16T12:00:00Z,89.5,301.5,0.95
2022-09-16T12:00:00Z,89.5,302.5,0.95
2022-09-16T12:00:00Z,89.5,303.5,0.94
2022-09-16T12:00:00Z,89.5,304.5,0.94
2022-09-16T12:00:00Z,89.5,305.5,0.94
2022-09-16T12:00:00Z,89.5,306.5,0.94
2022-09-16T12:00:00Z,89.5,307.5,0.94
2022-09-16T12:00:00Z,89.5,308.5,0.94
2022-09-16T12:00:00Z,89.5,309.5,0.94
2022-09-16T12:00:00Z,89.5,310.5,0.94
2022-09-16T12:00:00Z,89.5,311.5,0.94
2022-09-16T12:00:00Z,89.5,312.5,0.94
2022-09-16T12:00:00Z,89.5,313.5,0.94
2022-09-16T12:00:00Z,89.5,314.5,0.94
2022-09-16T12:00:00Z,89.5,315.5,0.94
2022-09-16T12:00:00Z,89.5,316.5,0.95
2022-09-16T12:00:00Z,89.5,317.5,0.94
2022-09-16T12:00:00Z,89.5,318.5,0.94
2022-09-16T12:00:00Z,89.5,319.5,0.94
2022-09-16T12:00:00Z,89.5,320.5,0.95
2022-09-16T12:00:00Z,89.5,321.5,0.95
2022-09-16T12:00:00Z,89.5,322.5,0.94
2022-09-16T12:00:00Z,89.5,323.5,0.95
2022-09-16T12:00:00Z,89.5,324.5,0.94
2022-09-16T12:00:00Z,89.5,325.5,0.95
2022-09-16T12:00:00Z,89.5,326.5,0.94
2022-09-16T12:00:00Z,89.5,327.5,0.95
2022-09-16T12:00:00Z,89.5,328.5,0.95
2022-09-16T12:00:00Z,89.5,329.5,0.94
2022-09-16T12:00:00Z,89.5,330.5,0.94
2022-09-16T12:00:00Z,89.5,331.5,0.94
2022-09-16T12:00:00Z,89.5,332.5,0.94
2022-09-16T12:00:00Z,89.5,333.5,0.94
2022-09-16T12:00:00Z,89.5,334.5,0.94
2022-09-16T12:00:00Z,89.5,335.5,0.94
2022-09-16T12:00:00Z,89.5,336.5,0.95
2022-09-16T12:00:00Z,89.5,337.5,0.95
2022-09-16T12:00:00Z,89.5,338.5,0.95
2022-09-16T12:00:00Z,89.5,339.5,0.94
2022-09-16T12:00:00Z,89.5,340.5,0.94
2022-09-16T12:00:00Z,89.5,341.5,0.94
2022-09-16T12:00:00Z,89.5,342.5,0.94
2022-09-16T12:00:00Z,89.5,343.5,0.94
2022-09-16T12:00:00Z,89.5,344.5,0.95
2022-09-16T12:00:00Z,89.5,345.5,0.95
2022-09-16T12:00:00Z,89.5,346.5,0.94
2022-09-16T12:00:00Z,89.5,347.5,0.93
2022-09-16T12:00:00Z,89.5,348.5,0.95
2022-09-16T12:00:00Z,89.5,349.5,0.95
2022-09-16T12:00:00Z,89.5,350.5,0.94
2022-09-16T12:00:00Z,89.5,351.5,0.95
2022-09-16T12:00:00Z,89.5,352.5,0.95
2022-09-16T12:00:00Z,89.5,353.5,0.94
2022-09-16T12:00:00Z,89.5,354.5,0.95
2022-09-16T12:00:00Z,89.5,355.5,0.94
2022-09-16T12:00:00Z,89.5,356.5,0.94
2022-09-16T12:00:00Z,89.5,357.5,0.94
2022-09-16T12:00:00Z,89.5,358.5,0.95
2022-09-16T12:00:00Z,89.5,359.5,0.94
2022-09-16T12:00:00Z,88.5,0.5,0.94
2022-09-16T12:00:00Z,88.5,1.5,0.94
2022-09-16T12:00:00Z,88.5,2.5,0.93
2022-09-16T12:00:00Z,88.5,3.5,0.94
2022-09-16T12:00:00Z,88.5,4.5,0.93
2022-09-16T12:00:00Z,88.5,5.5,0.93
2022-09-16T12:00:00Z,88.5,6.5,0.94
2022-09-16T12:00:00Z,88.5,7.5,0.94
2022-09-16T12:00:00Z,88.5,8.5,0.94
2022-09-16T12:00:00Z,88.5,9.5,0.94
2022-09-16T12:00:00Z,88.5,10.5,0.94
2022-09-16T12:00:00Z,88.5,11.5,0.94
2022-09-16T12:00:00Z,88.5,12.5,0.94
2022-09-16T12:00:00Z,88.5,13.5,0.94
2022-09-16T12:00:00Z,88.5,14.5,0.93
2022-09-16T12:00:00Z,88.5,15.5,0.93
2022-09-16T12:00:00Z,88.5,16.5,0.93
2022-09-16T12:00:00Z,88.5,17.5,0.93
2022-09-16T12:00:00Z,88.5,18.5,0.94
2022-09-16T12:00:00Z,88.5,19.5,0.93
2022-09-16T12:00:00Z,88.5,20.5,0.93
